baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
API3,USDT,4.977,154.2579,4.971,61.0,4.977,1612935866974.0,61.0,2022-03-12 00:26:36.380
AR,BTC,0.0008058,6.3847,0.0008037,0.0275,0.0008037,1635246534571.0,0.0771,2022-03-10 19:27:00.696
AR,USDT,31.661,3.0587,31.636,2.0801,31.635,1635319745130.0,1.7307,2022-03-10 19:27:00.699
ARKER,USDT,0.00564,233.0655,0.0056,282.5761,0.00563,1639124616775.0,77442.2735,2022-03-10 19:28:05.437
ARPA,USDT,0.068021,2800.0,0.067981,14.6006,0.067986,1613118319162.0,10.3937,2022-03-10 19:29:09.127
ARRR,BTC,2.843e-05,26.4267,2.828e-05,77.86,2.843e-05,1629119752308.0,45.4125,2022-03-10 19:27:00.677
ASD,USDT,0.2132,18.5592,0.2128,5.7528,0.2128,1646867151850.0,1.0102,2022-03-12 00:04:01.154
ASTR,USDT,0.1094,51330.4323,0.1091,73.6285,0.1092,1642671507271.0,6.8388,2022-03-11 23:32:00.936
ATA,USDT,0.3419,509.7315,0.3413,519.5781,0.3419,1636654131782.0,1.091,2022-03-10 19:28:05.445
ATOM,BTC,0.00071172,0.0284,0.00071138,10.0,0.00071163,1613660786462.0,0.0575,2022-03-12 00:26:36.381
ATOM,KCS,1.5302,0.0306,1.5277,20.0,1.527,1615879433649.0,0.0451,2022-03-12 00:29:51.562
ATOM,ETH,0.010714,23.9404,0.0107,23.9396,0.010715,1613551477499.0,0.0938,2022-03-10 19:27:00.679
ATOM,UST,27.9477,44.8744,27.7425,23.9544,27.7786,1613510900075.0,3.6243,2022-03-10 19:29:09.126
ATOM,USDT,27.8505,20.0,27.8472,26.89,27.853,1616648160145.0,16.7507,2022-03-12 00:32:07.388
ATOM3L,USDT,0.1801,5.8185,0.1791,2265.8401,0.1799,1633874494136.0,7.0575,2022-03-12 00:26:36.356
ATOM3S,USDT,0.6234,1181.018,0.6203,2.8759,0.621,1633857479413.0,2.8726,2022-03-12 00:26:36.356
AURY,USDT,8.092,0.0336,8.086,65.2033,8.086,1635508932687.0,0.0219,2022-03-10 19:29:09.122
AVA,USDT,1.259059,769.7392,1.256917,1.4917,1.258932,1613014216253.0,341.632,2022-03-12 00:26:36.357
AVA,BTC,3.219e-05,715.2871,3.216e-05,1.6574,3.219e-05,1612920854715.0,0.1997,2022-03-12 00:29:51.556
AVAX,USDT,73.046,6.8366,73.032,36.4166,73.02,1617467341886.0,29.6695,2022-03-12 00:26:36.370
AVAX,BTC,0.00187538,3.0,0.00187366,0.7069,0.00187458,1615593252463.0,0.0575,2022-03-10 19:28:05.464
AVAX3L,USDT,0.5174,2025.4238,0.516,9.9757,0.5161,1637178803725.0,332.9246,2022-03-12 00:27:41.146
AVAX3S,USDT,0.8211,14.142,0.8182,6.9654,0.8209,1637169213846.0,1.0011,2022-03-12 00:27:41.145
AXPR,ETH,2.325e-06,13221.27,2.291e-06,3273.4369,2.305e-06,1612756267672.0,7926.4246,2022-03-12 00:04:01.163
AXS3L,USDT,0.2294,762.7128,0.2284,8.4497,0.2296,1634110875043.0,47.44163763,2022-03-12 00:29:51.556
AXS3S,USDT,1.5844,0.3364,1.5748,96.4634,1.5827,1634100573334.0,28.5563,2022-03-11 23:32:00.955
BADGER,USDT,7.343,64.1443,7.335,118.3063,7.333,1634918576384.0,20.6236,2022-03-10 19:27:00.705
BADGER,BTC,0.0001863,65.636,0.0001856,65.7347,0.0001854,1634898424126.0,0.3489,2022-03-10 19:24:53.077
BAKE,BTC,1.373e-05,9.4175,1.364e-05,51.293,1.364e-05,1637219593135.0,0.1197,2022-03-10 19:24:53.045
BAL,ETH,0.004338,50.4312,0.004317,40.7298,0.004322,1630704800531.0,0.0532,2022-03-10 19:24:53.062
BAL,USDT,11.066,42.4549,11.022,41.0811,11.023,1630733048540.0,0.0216,2022-03-12 00:26:36.362
BAND,BTC,8.772e-05,139.3285,8.721e-05,139.8964,8.781e-05,1632479583720.0,0.1175,2022-03-10 19:28:05.455
BAND,USDT,3.4664,22.7093,3.463,65.0748,3.4712,1632528313224.0,22.1413,2022-03-12 00:27:41.157
BAT,USDT,0.6797,842.6118,0.6794,158.3047,0.6809,1645536033674.0,340.2379,2022-03-10 19:27:00.679
BAX,USDT,0.0003042,5164.95658626,0.0003036,600000.0,0.0003042,1618004055804.0,9277.79511374,2022-03-11 23:32:00.942
BAX,ETH,1.232e-07,100410.5643,1.203e-07,225183.553,1.227e-07,1612889237909.0,51490.0926,2022-03-12 00:29:51.556
BCD,ETH,0.0002003,216.6701,0.0001969,143.5384,0.0001984,1612832746074.0,1.9706,2022-03-10 19:27:00.696
BCH,KCS,16.095,0.0333,16.006,2.0,16.07,1614831772629.0,0.1868,2022-03-11 23:32:00.962
