baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
AVAX,USDT,69.748,24.0,69.747,14.4023,69.75,1618046109592.0,0.053,2022-04-27 19:43:17.371
AVAX,BTC,0.00178187,10.6551,0.00177971,3.5,0.00178162,1615726473733.0,1.4558,2022-04-27 19:37:33.263
AVAX3L,USDT,0.3402,1011.2964,0.3388,2.8374,0.3388,1637228154681.0,4.9145,2022-04-27 19:42:10.146
AXS,USDT,38.837,7.5,38.813,7.5,38.818,1646975172291.0,0.0103,2022-04-27 19:38:48.608
AXS3L,USDT,0.1869,1730.4391,0.1864,3882.1138,0.1864,1634137091424.0,38.0395,2022-04-19 22:13:57.256
BADGER,USDT,9.151,12.6,9.128,51.379,9.152,1634934202179.0,0.75185751,2022-04-19 21:11:46.605
BADGER,BTC,0.0002224,55.4569,0.0002213,55.3635,0.0002219,1634905756192.0,0.025,2022-04-27 19:43:17.377
BAKE,BTC,1.955e-05,2.3701,1.946e-05,2869.6959,1.95e-05,1637225186186.0,0.1237,2022-04-19 21:11:46.545
BAKE,ETH,0.0002625,2.8444,0.0002614,5.1691,0.0002623,1637216762756.0,0.3807,2022-04-19 21:11:46.647
BAKE,USDT,0.694,5.5012,0.6929,598.4806,0.6933,1637288153138.0,0.4768,2022-04-27 19:45:31.246
BAL,ETH,0.0052,28.7375,0.005176,28.6864,0.005149,1630710535929.0,0.1204,2022-04-19 22:13:57.262
BAL,USDT,16.067,0.0932,16.009,44.2196,16.055,1630749154916.0,0.0083,2022-04-19 22:13:57.262
BAL,BTC,0.0003675,33.3949,0.0003663,46.8759,0.0003675,1630693799532.0,0.0114,2022-04-27 19:25:47.362
BASIC,USDT,0.00399,39022.3126,0.00396,1345.235,0.00397,1635497557014.0,45.2547,2022-04-27 19:46:44.254
BAT,USDT,0.6665,0.5225,0.666,360.0,0.6656,1645606485246.0,0.412,2022-04-27 19:21:01.079
BAX,ETH,1.263e-07,13108.8324,1.236e-07,7530.0826,1.255e-07,1612902950084.0,2997.0,2022-04-19 21:11:46.456
BCD,BTC,1.124e-05,133.15,1.1e-05,5.3555,1.118e-05,1612814053431.0,17.88908765,2022-04-19 21:11:46.724
BCH,BTC,0.008137,5.4265,0.008129,4.3914,0.008125,1613597376117.0,0.0025,2022-04-19 21:09:25.305
BCH,USDT,307.33,1.4829,307.27,1.0915,307.29,1615423753101.0,0.0717,2022-04-27 19:41:03.808
BCH3L,USDT,0.033501,299.9934,0.033308,9694.099,0.033656,1622195891728.0,160.9753,2022-04-19 21:00:09.426
BCH3S,USDT,2.8079,7.8758,2.799,1101.4504,2.8077,1622148553057.0,0.3562,2022-04-19 21:11:46.726
BCHSV,KCS,4.176,143.74,4.096,8.2046,4.124,1615571624861.0,0.0146,2022-04-19 21:11:46.662
BCHSV,USDT,85.589,2.374,85.483,10.374,85.542,1614210973099.0,1.10867704,2022-04-19 21:11:46.725
BCHSV,USDC,78.03,11.9658,77.96,1.2,78.15,1614088243797.0,0.8222,2022-04-27 19:37:33.277
BETA,USDT,0.34387,4.1367,0.34293,2000.0,0.34272,1649396855157.0,3.4603,2022-04-27 19:44:25.042
BMON,USDT,0.04481,41.5108,0.04455,11081.1362,0.04476,1632922656504.0,15284.333,2022-04-19 21:11:46.556
BNB,BTC,0.0099757,1.3884,0.009972,2.8884,0.0099757,1645640097323.0,0.0222,2022-04-27 19:25:47.379
BNB,KCS,20.0395,1.671,20.0082,0.0178,20.0125,1615267786146.0,0.0318,2022-04-19 22:13:57.264
BNB,USDT,391.355,4.88286134,391.354,9.65,391.35,1617306830404.0,1.9942,2022-04-27 19:45:31.234
BNB3L,USDT,2.064,55.093,2.058,159.8589,2.0751,1634726684628.0,0.52357227,2022-04-19 21:11:46.724
BNB3S,USDT,3.2896,0.2231,3.2656,103.5198,3.2884,1634728863320.0,1.2172,2022-04-19 21:11:46.424
BNC,USDT,0.6114,27.5637,0.6093,23.571,0.6093,1648702472483.0,1.0839,2022-04-27 19:44:25.042
BNT,USDT,2.1375,219.8691,2.1298,3.5279,2.1352,1630542985598.0,72.12439115,2022-04-27 19:25:47.362
BNT,BTC,5.476e-05,224.7717,5.454e-05,0.5254,5.481e-05,1631224244815.0,0.388,2022-04-27 19:39:55.862
BNT,ETH,0.000742,215.4328,0.000738,215.7053,0.000738,1630511411117.0,0.539,2022-04-27 19:22:08.162
BNX,USDT,106.056,0.0369,105.579,0.0058,105.763,1651041376127.0,0.015,2022-04-27 19:42:10.141
BOLT,USDT,0.007025,43657.7567,0.007017,16342.2432,0.007012,1612855144164.0,18209.7048,2022-04-27 19:43:17.379
BOLT,BTC,1.802e-07,43657.7567,1.784e-07,16342.2432,1.795e-07,1612794633625.0,10.5541,2022-04-27 19:43:17.377
BOND,USDT,6.82,22.6531,6.81,101.2861,6.82,1646873542302.0,0.015,2022-04-27 19:42:10.154
BOSON,USDT,0.7866,120.0,0.7846,120.0,0.7849,1618050062495.0,40.0,2022-04-27 19:44:25.033
BTC,USDT,39213.6,1.55726575,39213.5,1.96663283,39213.6,1628411055432.0,1.326e-05,2022-04-27 19:41:03.775
BTC,USDC,39222.6,0.07856453,39222.5,0.07811264,39248.8,1614327442460.0,0.0185,2022-04-27 19:41:03.802
BTC,TUSD,41301.1,0.07588426,41277.6,0.0605435,41326.7,1613371968479.0,0.003,2022-04-19 21:11:46.696
BTC,DAI,39295.3,0.01224464,39199.9,0.01224492,39198.3,1613122480031.0,2.16e-05,2022-04-27 19:45:31.256
BTC,UST,41165.8,0.017,41125.4,0.1328,41167.7,1613544707636.0,0.70822266,2022-04-19 21:11:46.405
BTC3L,USDT,0.0839,3874.7338,0.0838,223.5382,0.0839,1617944877355.0,25.8586,2022-04-27 19:43:17.377
BTC3S,USDT,1.7164,4.27,1.7137,18.5926,1.7164,1617949862774.0,14.0791,2022-05-14 22:31:26.679
BUY,BTC,3.183e-07,2859.7659,3.085e-07,4504.0,3.11e-07,1637865419098.0,1235.3672,2022-04-19 21:11:46.662
C98,USDT,1.3015,206.5722,1.2996,199.7501,1.301,1633094502859.0,10.4766,2022-04-27 19:46:44.257
CAKE,USDT,7.557,0.142,7.555,127.8246,7.557,1645550730181.0,0.0439,2022-04-27 19:22:08.163
CAPP,BTC,7.09e-08,8146.2548,6.98e-08,24467.203,7.11e-08,1612731092670.0,42.9303,2022-04-19 21:11:46.696
CARD,USDT,0.003572,2295.6603,0.003571,1182.4578,0.003571,1620358519110.0,45.8381,2022-04-27 19:19:47.433
CARR,BTC,9.77e-08,438110.2887,9.49e-08,7560.0,9.51e-08,1619217338779.0,1087.3193,2022-04-27 19:19:47.432
CARR,USDT,0.003774,789.3315,0.00374,984.6543,0.00374,1619249596540.0,242.9056,2022-04-27 19:19:47.432
CBC,USDT,0.03829,35.6073,0.03805,201.1131,0.038068,1617899770066.0,3134.5697,2022-04-19 22:16:15.181
