a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
USDT,ETC,ETH,31.1484,31.1617,39.503661,15.0,0.012109,0.012122,0.72461,18.77509,2886.24,2886.25,9.4623838,21.0908848,,12.267397607190844
USDT,ETH,BTC,2886.24,2886.25,9.4623838,21.0908848,0.073639,0.07364,2.8289726,3.0,39213.5,39213.6,1.96663283,1.55726575,,0.14830903166735965
USDT,FKX,BTC,0.04231,0.04234,5336.6964,1343.8461,1.0195e-06,1.0352e-06,8606.8447,1600.3454,39213.5,39213.6,1.96663283,1.55726575,4.123311078384795,
USDT,FKX,ETH,0.04231,0.04234,5336.6964,1343.8461,1.347e-05,1.381e-05,970.858,1395.4796,2886.24,2886.25,9.4623838,21.0908848,6.042833411637738,
USDT,FTT,BTC,43.264,43.309,10.0,10.0,0.0010091,0.0010109,52.6536,25.313,39213.5,39213.6,1.96663283,1.55726575,9.03041908778508,
USDT,FXS,BTC,34.545,34.612,8.99,8.99,0.0007011,0.0007021,0.1575,75.8178,39213.5,39213.6,1.96663283,1.55726575,25.347429417226298,
USDT,GAS,BTC,5.1623,5.1923,205.5518,91.2893,0.00012381,0.00012409,1.5893,26.5046,39213.5,39213.6,1.96663283,1.55726575,5.982866797775355,
USDT,GMB,BTC,0.000801,0.000806,10030.0,190.8917,2.36e-08,2.39e-08,2187615.6779,21340.1491,39213.5,39213.6,1.96663283,1.55726575,,14.933503548387094
USDT,GMB,ETH,0.000801,0.000806,10030.0,190.8917,3.068e-07,3.224e-07,109396.2856,36526.2347,2886.24,2886.25,9.4623838,21.0908848,,9.973192361290305
USDT,GOVI,BTC,0.8774,0.8805,2.1958,9.5057,2.156e-05,2.181e-05,26.4286,33.7,39213.5,39213.6,1.96663283,1.55726575,2.487564449151547,
USDT,GRT,KCS,0.36801,0.36809,4500.4431,0.3538,0.01925,0.01934,740.0,945.784,20.856,20.857,25.2437,70.6339,,9.179678339536546
USDT,GTC,BTC,5.4885,5.5017,85.4679,93.4404,0.00014756,0.00014807,78.8012,78.6027,39213.5,39213.6,1.96663283,1.55726575,,5.278921134558434
USDT,HAI,BTC,0.05241,0.05248,840.0,918.6123,1.1268e-06,1.1499e-06,2708.4877,2091.0,39213.5,39213.6,1.96663283,1.55726575,16.113654428768886,
USDT,ICP,BTC,15.33,15.34,173.7744,108.926,0.000386,0.000387,511.077,0.0041,39213.5,39213.6,1.96663283,1.55726575,0.9160859255582077,
USDT,IOST,BTC,0.03113,0.03117,20752.3136,10455.259,7.529e-07,7.559e-07,50.885,10455.259,39213.5,39213.6,1.96663283,1.55726575,4.916545711836351,
USDT,IOST,ETH,0.03113,0.03117,20752.3136,10455.259,1.0102e-05,1.0156e-05,20834.6325,19561.3136,2886.24,2886.25,9.4623838,21.0908848,6.093409162329189,
USDT,IOTA,BTC,0.6153,0.6161,705.0433,1117.0,1.634e-05,1.636e-05,3.7219,0.0001,39213.5,39213.6,1.96663283,1.55726575,,4.1047457539360455
USDT,KCS,BTC,20.856,20.857,25.2437,70.6339,0.0005051,0.0005053,0.0593,0.347,39213.5,39213.6,1.96663283,1.55726575,5.150399719987364,
USDT,KNC,ETH,5.574,5.594,199.7442,181.00034105,0.0019142,0.0019197,83.1629,0.162,2886.24,2886.25,9.4623838,21.0908848,0.49988761067953913,
USDT,KRL,BTC,0.79522,0.79695,30.0,125.3109,2.04e-05,2.047e-05,0.0001,90.0,39213.5,39213.6,1.96663283,1.55726575,,0.4774898550724771
USDT,KSM,BTC,157.83,157.9992,2.3,1.569,0.00421938,0.00423013,0.1009,2.7504,39213.5,39213.6,1.96663283,1.55726575,,4.8246537245948184
USDT,LOKI,BTC,0.55906,0.55988,0.2664,105.3106,1.486e-05,1.491e-05,3.0728,2.3807,39213.5,39213.6,1.96663283,1.55726575,,4.182203795456152
USDT,LOKI,ETH,0.55906,0.55988,0.2664,105.3106,0.0001929,0.0001931,496.2907,247.3688,2886.24,2886.25,9.4623838,21.0908848,0.20932181957904472,
USDT,LRC,BTC,0.9426,0.9428,3.3368,869.9795,2.284e-05,2.29e-05,2.546,530.9537,39213.5,39213.6,1.96663283,1.55726575,4.86273027929327,
USDT,LRC,ETH,0.9426,0.9428,3.3368,869.9795,0.00030579,0.00030797,743.3318,809.0,2886.24,2886.25,9.4623838,21.0908848,5.937812012994703,
USDT,LTC,BTC,100.44,100.441,0.40862,20.79882112,0.002727,0.002728,1.506569,1.372945,39213.5,39213.6,1.96663283,1.55726575,,6.57216646040959
USDT,LUNA,KCS,89.1343,89.1344,555.2591,0.4754,4.476,4.4858,2.3877,7.4487,20.856,20.857,25.2437,70.6339,,4.835851765423893
USDT,LUNA,BTC,89.1343,89.1344,555.2591,0.4754,0.00227454,0.00227489,5.5,16.3319,39213.5,39213.6,1.96663283,1.55726575,,0.165443380210073
USDT,LUNA,ETH,89.1343,89.1344,555.2591,0.4754,0.030463,0.030486,6.0,6.0,2886.24,2886.25,9.4623838,21.0908848,1.199039251442624,
